var_i,var_j,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GP,PRE,,,,,,,0.197215042653732,,,,,,,,,,,,0.1794242206596744,,,,,
NDMI,NIRv,0.3212791494695124,0.3421154310975051,0.3826748118737258,0.374772392153698,0.3554668167788422,0.3915129643955581,0.3778089459111965,0.3069937682328926,0.396173635326817,0.3418672686655997,0.3666517551793964,0.4017824446219111,0.3783364484569984,0.3634491723921697,0.3947054611011544,0.3738987831721125,0.3326219108035262,0.3759222568915641,0.397198338134178,0.3901587881810711,0.3857640140962734,0.4043535122334026,0.3612204763855101,0.4046294273211065
NDMI,PET,0.2508440386049445,0.2225784173741549,0.2423761520074205,0.2243887709640808,0.2614187587349271,0.2675095102606606,0.2520996819896425,0.211874627159087,0.2684597965389138,0.2460117353950835,0.2788795218506829,0.292696070218551,0.2869985934075814,0.3216403289670783,0.2519844001364492,0.2297167490179917,0.226925329383397,0.2058636408176346,0.2501547798862847,0.2228905370171814,0.2486676093521674,0.2656097621033838,0.2219548672559852,0.2343987466770992
NDMI,PRE,0.2595177335217615,0.2195857500581433,0.2086506241707936,0.2177106182098793,0.2268156285943856,0.2678278334519675,0.2378029601095308,,0.217669822241898,0.2670744842257276,0.2211228221784991,0.2815274523736835,0.2444536024140639,0.32356481570381,0.2561522995097804,0.208412612661649,0.2000611230773075,0.2131969571510228,0.2492842089218774,0.2343324411403834,0.2878243946621546,0.3083284124406998,0.2487003709770125,0.2719565615181346
NDMI,SM,0.2126542324354854,0.1931567455408935,0.2051094093691164,0.2013464290254623,0.2231259228844028,0.2271257676949547,0.2350997234604278,0.1754287493622003,0.2082169767420024,0.217442981972428,0.2249036214989798,0.239087722858019,0.2426915858219105,0.266988946166479,0.249295256215437,0.2090918757234418,0.2066160142406967,0.217557438737326,0.2291656336683347,0.2203752159973258,0.2392688092141723,0.2712742626198283,0.2385398721714367,0.235907153829467
NDMI,SPEI6,,,,,,,,,,,,,,0.2987421421821682,,,,,,,,,,
NDMI,T,,,0.1787025523686308,,0.1771509655983871,,0.1932911191701244,,,,0.216684538181634,,0.1992319331205433,0.242600896499539,,,0.168784835689022,,,,,,,
NDMI,WS2,,,,,0.1757720096900628,,,0.1675128553601326,,,0.1939392755858069,,,,,,,,,,,,,
NIRv,PET,0.308006556648755,0.308976169783836,0.293537302731229,0.2649058820987429,0.301428218129881,0.3369265377164175,0.2966010457484695,0.280984375057931,0.3065346707862985,0.3150394393345854,0.3295080374600881,0.333070508995415,0.3208966302949583,0.3255649657566075,0.3285544676504662,0.3223769325729325,0.2825774495285811,0.2838513286869916,0.3040588711335817,0.2703222247864971,0.2977738713030537,0.3051203578671353,0.303901679569022,0.2860281328886983
NIRv,PRE,0.3664392720513605,0.2780761576999206,0.2818745244866511,0.2712450887335509,0.2832431052487142,0.3422923512666627,0.3044560589739786,0.2351000401212253,0.2904963565156768,0.359559336575681,0.2929866073178616,0.3530368290350431,0.305283374150211,0.3704278047386387,0.3116226689900517,0.2939791257503708,0.2925508402962414,0.2890093417627704,0.3345796748931907,0.2936102143899323,0.3885445958095095,0.3813610536445703,0.2824968383332048,0.3666028727288342
